Ticker,Industry,Score,PB,NCAV,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,BIG,Beta,Performance
SPT,33,0.007111098671295756,-2273.4235,-97.2094,6.3325,-1.6871,-1.233,-46.7044,-107.4341,-112.3301,35.1162,999999.0,999999.0,-28.0315,76.4179,,,-1.738,2.1972,1.738,-0.0372
OMEX,75,0.007041206814555501,999999.0,-209.1879,-12.5698,-26.634,-26.4277,-148.9182,-232.4612,-364.2772,30.2082,999999.0,999999.0,999999.0,,,,-0.7536,1.9459,0.7536,-0.1623
FRSH,33,0.006962244893016664,-606.871,-84.5293,7.6824,-4.4573,-2.7671,-31.6124,-111.2716,-127.6715,34.2236,999999.0,999999.0,-16.793,80.7686,,,,2.1972,,-0.1943
ASTL,138,0.006801453171973751,-120.0124,-57.2952,140.274,130.7309,48.7165,580.8765,537.4925,387.1647,112.0452,198.5313,148.0199,58.4658,39.7793,37.073,24.3111,,2.3026,,-0.1051
HUBS,33,0.0067342903535209525,-2717.534,-99.0871,5.4717,-0.3955,-0.2921,-54.2277,-99.4973,-102.921,33.0841,4214.0226,-243.6983,-7.938,82.2053,,,-1.5627,2.3026,1.5627,0.1134
LUNR,66,0.006692761609384199,999999.0,-279.9637,28.3176,-14.9473,-12.0584,109.3218,-189.6993,-220.5839,18.4645,999999.0,999999.0,999999.0,12.139,,,,2.0794,,1.6907
NTRA,78,0.006565225608722571,-976.1202,-91.9186,5.7295,-8.5169,-6.3502,-49.9468,-155.044,-163.5016,31.1336,214.9131,-255.5767,-61.9852,44.3741,,,-1.3872,2.1972,1.3872,0.4843
CTRA,95,0.00638995688965381,-147.0379,-128.3396,29.8238,25.8927,22.2161,149.8182,115.8215,122.161,158.3812,42.359,29.4205,32.6661,63.5094,55.1381,43.7634,-0.8237,2.3026,0.8237,0.1104
CCRD,33,0.006116979270323749,-217.5519,-69.0026,41.4931,22.3151,13.2663,180.6766,61.1647,32.6632,44.5967,135.4496,58.2761,28.8611,53.18,28.6003,21.8276,-1.1369,2.0794,1.1369,-0.1867
TENB,33,0.006012459945417215,-1835.2515,-105.097,11.0878,-1.423,-1.3726,-10.8305,-106.7803,-113.7256,26.2527,807.9418,-82.9529,-25.19,77.3432,,,-1.4866,2.1972,1.4866,0.0903
NBN,73,0.00597152962786108,-141.293,-713.9064,,,12.4467,,,24.4668,16.0289,,,17.5863,,,42.9597,-1.0143,2.1972,1.0143,-0.0002
GSL,75,0.005798448628707902,-64.8636,-241.472,23.355,22.0618,37.3743,198.449,174.8077,273.7434,50.1742,18.8797,14.2675,24.2423,55.3504,52.2857,38.7601,-1.0319,2.1972,1.0319,0.0404
CNOBP,73,0.005637283230633675,-55.4947,-1394.241,,,20.9402,,,109.4023,13.4824,,,11.6207,,,43.4355,,2.1972,,0.0992
SEVN,124,0.005550284557256799,-58.5366,-398.9615,,,13.9661,,,39.6615,12.7973,,,8.1753,,,65.1059,-1.0821,2.0794,1.0821,0.0188
VTEX,33,0.0055468224380000085,-460.1106,-83.8383,10.209,-4.8634,-3.5729,-14.8857,-112.8156,-135.7292,25.0899,281.144,-107.1453,-16.4394,60.9477,,,,2.1972,,0.2093
MRNA,14,0.005339533295602732,-226.4943,-84.4387,40.2837,28.1947,17.6854,171.4551,96.8531,76.8543,4.2999,145.9603,81.7265,40.0565,73.0079,51.0985,41.5514,-0.8044,2.3979,0.8044,-0.079
ACT,137,0.005231671656245269,-109.3321,-135.8693,999999.0,999999.0,16.0268,,,60.2677,-2.2596,999999.0,999999.0,17.5224,,,65.6311,,2.3026,,0.0766
SPRO,19,0.00512507282945445,-105.0036,-14.6142,999999.0,999999.0,-46.5702,,-269.8522,-565.7019,1482.3779,999999.0,999999.0,-48.9004,,,,-0.9039,2.0794,0.9039,0.1842
CHCO,73,0.005037187789591669,-271.9477,-437.2832,,,6.4823,,,-35.1765,12.4882,,,17.6286,,,41.3963,-0.9679,2.1972,0.9679,-0.0874
VLYPO,73,0.005012150764419967,-159.904,-598.8887,,,6.1019,,,-38.9814,36.3891,,,9.7571,,,33.5419,-1.0359,2.3026,1.0359,0.0142
VLYPP,73,0.005011941685582393,-139.1617,-673.2488,,,7.0113,,,-29.8865,36.3891,,,9.7571,,,33.5419,-0.9895,2.3026,0.9895,0.1429
CARG,45,0.004892453029795004,-358.6914,-84.6901,28.1725,4.6477,3.22,105.7685,-52.9928,-67.8004,73.9628,217.8475,28.751,11.5497,39.7305,6.5544,5.3829,-1.3039,2.3026,1.3039,-0.0391
LMND,118,0.004884744995763635,-136.1844,-169.7956,,,-19.9789,,,-299.7888,99.9221,999999.0,999999.0,-27.2081,,,,-2.2826,2.1972,2.2826,-0.0522
GRVY,123,0.004696363832307829,-201.682,-53.651,60.1413,32.3434,13.2008,186.7666,77.7915,32.0075,13.2717,999999.0,999999.0,26.6235,43.8037,23.5572,19.6206,-0.9476,2.1972,0.9476,0.0869
AEIS,66,0.004628013119050486,-370.7133,-92.0154,17.4674,6.2036,4.8926,38.8791,-49.2807,-51.0744,26.75,68.8792,19.5702,18.1374,36.6044,13.0002,10.4796,-1.5152,2.3026,1.5152,-0.075
PNRG,95,0.004454537131597995,-137.8957,-117.8675,34.1493,22.4076,24.3847,159.2854,72.8953,143.8473,89.2833,48.702,25.5653,33.6255,44.3375,29.0928,34.4243,-0.8312,2.1972,0.8312,-0.0108
BKKT,55,0.004447753073153898,-51.0497,29.8803,31.7283,-103.1033,-933.1766,154.2006,-927.0743,-9431.7659,50.9207,56.4408,-146.7265,-476.3841,97.0529,,,-2.7819,2.0794,2.7819,-0.8019
AMAL,73,0.004414018591686827,-155.3879,-1027.3726,,,10.9415,,,9.4148,31.5819,,,17.0017,,,32.4683,-1.228,2.1972,1.228,-0.1375
CADL,14,0.00426219974600544,-87.8856,4.5817,999999.0,999999.0,-35.8547,,-644.1539,-458.5467,0.0,999999.0,999999.0,-31.5111,,,,,1.7918,,0.1655
ASM,82,0.004254156385170322,-62.7765,-93.3679,27.2787,15.9612,9.9847,106.0888,24.8461,-0.153,289.4361,16.4249,7.6884,6.268,34.5079,20.1911,14.0762,-1.1569,2.0794,1.1569,0.4615
FIGS,7,0.004233095805793257,-362.0927,-75.7518,37.1347,3.946,2.7804,168.8193,-58.6195,-72.1964,20.5543,239.5583,20.365,10.0675,70.0742,7.4463,6.1248,,2.1972,,-0.3288
OTTR,46,0.004212011792189067,-281.1542,-134.7164,13.7949,9.441,8.3572,12.5171,-29.5703,-16.4281,22.005,29.5541,16.1811,23.4966,39.0695,26.7386,19.5882,-1.1337,2.3026,1.1337,-0.0025
EDU,102,0.004000861794045313,-3036.1368,-98.405,1.4175,0.1696,0.2131,-85.7729,-95.431,-97.8689,-3.4614,999999.0,999999.0,6.4702,52.9836,6.3396,8.2336,-0.841,2.3026,0.841,0.2106
PXLW,132,0.003966983787537817,-96.8771,-34.2155,67.6991,-31.7297,-18.4211,334.3831,-267.9336,-284.2108,27.3021,232.5556,-87.1968,-17.8458,51.1519,,,-1.3456,2.0794,1.3456,0.9921
GROY,114,0.0038241015708011215,-38.9158,-164.9041,1.0734,-8.5546,-6.6557,-89.2914,-164.5284,-166.5574,2978.7234,0.4118,-2.6252,-2.5901,75.6047,,,,1.9459,,0.331
ALNY,19,0.003815140211400609,999999.0,-103.6405,3.7796,-3.4161,-3.7323,-66.3685,-121.1333,-137.3227,22.875,999999.0,999999.0,999999.0,83.7272,,,-0.9495,2.3026,0.9495,-0.2252
GRND,34,0.003778757120103218,-36657.6652,-126.3548,7.8233,0.7095,-0.0004,-46.2775,-116.6708,-100.0038,33.7249,40.3801,2.9296,-0.1382,73.7046,6.6841,,,2.1972,,0.2231
HIPO,118,0.003778077342645972,-35.3006,-565.5649,999999.0,999999.0,-124.1761,,,-1341.7608,31.25,999999.0,999999.0,-43.8349,,,,,2.1972,,1.1196
CDZI,147,0.003746394002591402,-473.0417,-139.3782,-0.2816,-8.2405,-12.2677,-126.9462,-205.993,-222.6766,166.1348,-0.772,-18.0719,-58.0311,,,,-1.2304,1.9459,1.2304,-0.069
PERF,33,0.0036603006676582672,-195.5638,-47.8527,24.608,-43.4937,-36.2961,44.4338,-205.4854,-462.9605,16.0451,999999.0,999999.0,-70.982,84.926,,,,2.0794,,-0.209
DFLI,66,0.0036600585295572976,-238.4571,-116.641,87.2206,-126.9755,-127.1009,631.8566,-1179.44,-1371.0086,10.5782,193.5267,-225.3884,-303.0811,27.3829,,,,2.0794,,-0.1639
FRPT,107,0.0036326602977595187,-407.3675,-95.9131,4.5713,-1.2774,-1.0562,-61.4257,-106.7375,-110.5621,39.92,20.6971,-4.6267,-4.3026,31.248,,,-1.3229,2.1972,1.3229,0.3198
EXEEL,95,0.0036089382904750575,-87.3492,-145.1583,74.6016,34.0902,36.6486,681.5181,236.9368,266.486,119.6353,67.4775,24.6678,32.0123,71.275,32.5701,25.5248,,2.3979,,0.2559
OSBC,73,0.003608266036632107,-144.7375,-913.1282,,,10.9731,,,9.7308,83.5503,,,15.8822,,,29.9028,-1.2115,2.1972,1.2115,-0.1198
FBP,73,0.003591327556764562,-212.5196,-714.4389,,,12.7108,,,27.1079,8.4834,,,27.0129,,,40.3878,-1.3914,2.1972,1.3914,0.0541
MPWR,132,0.003576093591444669,-1682.4433,-96.3041,3.8359,1.9271,1.4959,-67.4912,-82.3599,-85.041,48.547,112.6592,45.2793,25.1678,58.4429,29.3613,23.4066,-1.858,2.3026,1.858,0.0765
PCB,73,0.003546451652939242,-73.3332,-947.4295,,,16.0667,,,60.6665,8.9567,,,11.7822,,,37.9545,-1.1378,2.1972,1.1378,-0.1157
UFI,140,0.00345151821831834,-36.933,-32.1765,7.036,-16.2187,-30.4173,-74.025,-389.0746,-404.1726,-23.5647,3.5034,-6.4605,-11.234,2.2839,,,-1.5463,2.1972,1.5463,-0.1195
TRUP,78,0.003438733455389194,-413.2254,-90.7247,11.0214,4.2172,-2.8026,-10.3945,-58.229,-128.0261,20.5609,80.2028,24.5506,-11.5811,20.4799,7.8363,,-2.2099,2.1972,2.2099,-0.1499
MCB,73,0.003433711937686425,-97.0554,-1118.2571,,,13.8688,,,38.6884,41.535,,,13.4605,,,30.3101,-2.7168,2.1972,2.7168,-0.3146
ACDC,99,0.0034091845765692077,-31.9035,-256.4792,18.1909,11.9596,65.3114,407.426,-38.6893,553.1143,185.7008,31.303,16.4641,20.8366,28.9207,19.0139,11.6029,,2.3026,,0.0777
PRI,72,0.0033708058507159674,-367.9136,-268.7372,,,7.6931,,,-23.0691,-1.9294,,,28.3039,,,21.6344,-1.1968,2.3026,1.1968,0.199
GCBC,12,0.0033518518841102506,-242.8394,-665.0627,,,6.4396,,,-35.604,4.5935,,,15.6379,,,39.0677,-0.9972,2.0794,0.9972,-0.0201
INDV,19,0.0033364646575655805,-4139.9236,-121.1238,51.4276,14.7426,-3.3722,215.1048,12.392,-133.7223,13.9064,999999.0,999999.0,-139.6078,83.2408,23.8624,,-0.566,2.1972,0.566,0.3471
LZ,45,0.0033150726526983594,-1463.583,-100.8609,21.5805,-2.1899,-1.8303,66.0521,-106.8552,-118.3025,7.8074,999999.0,999999.0,-26.7873,65.9513,,,,2.1972,,0.2253
LPRO,55,0.003287186794968622,-489.1835,-88.8293,16.2208,9.9194,7.1878,28.1361,-19.5143,-28.1222,-16.7216,102.4511,50.121,35.1614,88.8816,54.3532,41.6673,-1.4947,2.1972,1.4947,-0.3219
LMAT,79,0.003285568271739802,-460.1111,-89.7742,9.1108,2.6001,1.7821,-25.2964,-73.892,-82.1786,4.68,56.5447,12.9097,8.1998,64.8904,18.5189,13.6046,-1.1426,2.1972,1.1426,0.1318
SMR,81,0.003283317094938995,-78.5921,-2.2508,3.9887,-204.4555,-52.0086,-35.1729,-896.5721,-620.0863,312.4389,47.7239,-1956.9879,-40.8747,38.0125,,,,2.0794,,0.8217
PFG,1,0.0032293409924334647,-175.885,-1651.8663,999999.0,999999.0,26.4902,,,164.9023,21.5438,999999.0,999999.0,46.5923,,,27.3128,-1.3028,2.3979,1.3028,0.0881
HRZN,55,0.003220116484299838,-90.3505,-255.8387,,,6.0798,,,-39.2018,-19.9122,,,5.4931,,,65.6587,-1.1734,2.0794,1.1734,-0.1275
CMPO,55,0.0030149039881144073,999999.0,-596.2247,21.62,11.3094,152.7061,1039.0074,-135.6436,1427.0608,41.2498,419.5202,175.5596,999999.0,58.0338,30.3573,28.7839,-0.8577,2.1972,0.8577,0.298
CAKE,127,0.0029972313007423307,-577.034,-226.8548,62.8138,4.9317,1.5617,486.898,-73.2398,-84.3832,12.8304,198.4135,12.4625,9.0114,38.7593,3.0431,0.7966,-1.2644,2.3026,1.2644,0.0831
TCBI,73,0.0029884018021836636,-102.2026,-912.1083,,,11.0613,,,10.6125,11.0837,,,11.3049,,,35.3622,-1.4537,2.1972,1.4537,-0.0853
PLUS,130,0.0029710960237490404,-275.3986,-75.9709,23.2469,7.6496,6.0519,88.843,-40.0979,-39.4809,13.5473,60.5911,15.9504,16.6669,25.0288,8.2359,6.3055,-1.3309,2.3026,1.3309,-0.0521
IBKR,70,0.002856346831649248,-74.1363,-105.6324,14.9083,13.6507,18.5625,51.238,24.4813,85.6246,47.2447,19.9218,14.593,13.7615,85.1796,77.994,39.8802,-1.1238,2.3026,1.1238,0.3551
OFLX,67,0.0028275359571253624,-953.4989,-92.3333,12.2137,4.8377,3.6519,-2.1642,-57.9103,-63.4807,-3.4797,233.9558,74.1344,34.8211,62.4009,24.7165,19.7496,-1.147,2.1972,1.147,-0.0336
PBF,69,0.002774619771262769,-106.874,-133.7556,88.5118,79.5028,52.6706,594.8487,524.3469,426.7056,71.8329,97.2379,69.8726,56.2911,9.9905,8.9737,6.0774,-1.1799,2.3979,1.1799,0.3471
TSM,132,0.0027429412549392035,-2708.7119,-99.9758,1.7215,1.4316,1.158,-85.4495,-87.7485,-88.4197,42.615,61.5759,40.9629,31.3677,59.5592,49.5265,40.4285,-1.1993,2.3979,1.1993,0.3867
BRBR,107,0.002588152281673517,999999.0,-108.7838,5.0879,2.562,1.5748,-66.4617,-89.1099,-84.2522,11.1838,81.5072,32.8348,999999.0,31.8052,16.0157,8.783,-0.8074,2.3026,0.8074,0.0611
MED,107,0.0025058676816437165,-492.5123,-89.8048,168.7203,27.3414,19.283,1106.2431,105.0965,92.8302,4.7501,1693.1896,219.5074,94.9712,71.3393,11.5607,9.2111,-1.1984,2.3026,1.1984,-0.4999
PB,73,0.0024572162524394508,-87.8089,-626.8113,,,9.0595,,,-9.405,1.3533,,,7.955,,,47.8817,-1.1731,2.3026,1.1731,-0.0711
NWFL,73,0.002423167361492175,-142.6052,-889.0083,,,12.2163,,,22.163,6.3184,,,17.4211,,,37.1612,-0.967,2.0794,0.967,-0.2211
BWIN,137,0.0023994370169781675,-127.5259,-205.9128,7.7191,0.0373,-4.1838,-85.2178,-222.1441,-141.8383,73.132,10.4466,0.0404,-5.3355,25.7915,0.1247,,-1.3981,2.1972,1.3981,0.2008
BCPC,74,0.0023952082681945636,-498.3857,-107.3418,5.5532,2.8748,2.2881,-60.0195,-83.1601,-77.1187,17.9388,21.3711,8.8508,11.4037,29.7606,15.4067,11.3544,-1.027,2.1972,1.027,0.0311
ENPH,132,0.0023552412003407393,-2168.9805,-99.6293,5.5425,2.5628,2.0196,-54.6576,-78.0658,-79.8041,68.652,193.723,71.6608,43.8045,41.8128,19.3339,15.5153,-1.7109,2.3026,1.7109,-0.1348
DKS,105,0.0023320448955801913,-457.5228,-111.9125,38.3682,13.2955,9.5838,200.0699,6.1528,-4.162,0.6087,200.1341,55.4811,43.8481,34.6417,12.0042,8.9504,-1.4187,2.3979,1.4187,0.4939
CYBR,33,0.00226098480572292,-1307.6139,-100.4307,5.4897,-1.7972,-1.2361,-53.6482,-109.4126,-112.3614,17.6556,158.818,-41.5953,-16.1639,78.698,,,-1.3919,2.1972,1.3919,0.2174
UFPI,59,0.0021645665863893574,-286.2904,-83.4151,24.9348,13.3174,10.0327,95.7739,6.2956,0.327,11.4705,78.2658,33.4407,28.7227,18.5884,9.9279,7.7685,-1.3251,2.3026,1.3251,-0.0388
GRMN,66,0.002145852337713993,-379.695,-88.3509,12.6974,4.6498,3.6166,1.482,-58.9294,-63.8342,-2.4586,59.0669,17.3043,13.732,57.7492,21.1478,17.5294,-1.0815,2.3026,1.0815,0.1572
CPB,107,0.002049231358870004,-337.19,-150.8612,17.337,7.7978,7.3061,52.7131,-51.2439,-26.9387,9.2852,35.8574,12.9023,24.6355,31.1745,14.0216,9.6441,-0.579,2.3026,0.579,0.0011
EXR,124,0.0020428659568943264,-501.3631,-135.6882,5.1054,3.6405,3.686,-82.4675,-98.805,-63.1405,21.9866,12.8593,7.3356,18.48,75.6309,53.9298,39.1683,-1.2004,2.3026,1.2004,-0.1052
CPAY,123,0.0020303958157208936,-812.6843,-124.0937,10.1402,5.5097,4.941,-23.9982,-71.0889,-50.5901,20.9403,32.6949,14.212,40.1547,77.6867,42.2115,29.7779,-1.2494,2.3026,1.2494,0.1023
MRK,19,0.0020111743814668188,-590.3799,-107.4328,14.4644,6.3154,4.8379,16.7304,-52.6731,-51.6206,21.721,65.881,23.0118,28.5622,70.6307,30.8385,22.1905,-0.7226,2.3979,0.7226,0.1584
ROL,42,0.0020109188928204517,-1644.5744,-102.2652,6.6705,2.3721,1.9152,-46.5459,-80.8659,-80.8477,11.2001,113.0976,32.1753,31.4974,51.4657,18.3019,14.8056,-0.8618,2.3026,0.8618,0.0561
FTEK,112,0.0018815899929522978,-70.942,0.3957,211.6097,-27.753,-3.4906,275.5072,-55.6979,-134.906,11.0465,62.8265,-6.5918,-2.4763,43.2167,,,-0.8932,2.0794,0.8932,0.1714
LCID,9,0.0018553937597434005,-174.5328,-80.7152,-18.2727,-45.6681,-13.7423,-184.1935,-348.172,-237.4226,2143.2998,-42.5695,-85.1138,-23.9847,,,,-1.6209,2.1972,1.6209,-0.3349
LQDT,123,0.0018517974355269729,-353.7253,-99.5286,35.8025,5.1048,6.974,153.0189,-48.5613,-30.2596,8.7442,283.8466,32.3774,24.6689,57.3623,8.1789,13.6127,-0.8538,2.1972,0.8538,0.08
OEC,74,0.0018376730424359768,-350.2375,-139.5652,18.218,8.0008,7.8161,70.0382,-55.1085,-21.8392,31.2969,34.1579,12.0009,27.3748,22.0986,9.7051,6.1923,-1.3052,2.3026,1.3052,-0.1062
SB,75,0.0017898626152165749,-56.0506,-171.7733,28.6252,25.1671,31.9054,218.7546,171.8415,219.0544,4.9399,19.575,13.7681,17.8832,59.8337,52.6054,39.3279,-1.0026,2.1972,1.0026,0.2567
EHC,64,0.0017654582210544904,-355.6842,-144.7763,17.6747,6.3533,5.4457,62.0057,-73.6534,-45.5431,8.3115,38.0543,10.9431,19.3695,40.3164,14.492,8.2932,-1.0129,2.3026,1.0129,0.2233
BSBK,12,0.0017173432359085554,-80.2368,-824.1252,,,6.7761,,,-32.2393,10.9149,,,5.4369,,,31.3747,-0.8743,2.0794,0.8743,-0.1149
AREN,45,0.0016526582655816337,999999.0,-520.3448,61.6299,-38.9518,-130.0814,1333.3114,-1396.3241,-1400.8137,16.8103,181.2289,-91.6333,999999.0,39.8362,,,-1.2635,2.1972,1.2635,-0.6261
RPD,33,0.0015265194282440882,999999.0,-128.5332,12.3621,-2.9311,-2.98,-1.2793,-143.1693,-129.7998,27.9563,116.3959,-22.0786,999999.0,68.712,,,-1.7403,2.1972,1.7403,-0.1188
MATV,109,0.0014850908221342917,-69.1116,-282.5201,12.7291,-0.8777,-9.472,5.4067,-315.6599,-194.72,75.8784,11.0541,-0.6098,-6.5463,18.6939,,,-1.3181,2.3026,1.3181,0.1817
DOOO,67,0.001452462812163562,-1436.8504,-131.9209,24.3608,13.2671,12.0189,125.4476,8.1139,20.1892,31.1916,82.3688,35.8872,172.6939,24.9108,13.5667,9.2962,-1.4087,2.3026,1.4087,0.0448
CVLT,33,0.0014213046491315415,-1825.6273,-100.9285,20.8764,1.7059,-0.3617,61.3349,-79.0384,-103.6173,1.3314,999999.0,999999.0,-6.6038,88.0834,7.1977,,-1.0473,2.1972,1.0473,0.2871
SG,127,0.0013963072933874524,-227.3066,-101.6181,7.7102,-18.3115,-12.2965,-27.9896,-180.0494,-222.9651,38.3174,33.0544,-62.8025,-27.9508,14.7384,,,,2.1972,,1.1771
ROAD,83,0.0013643243647779644,-489.1758,-109.718,5.4201,1.235,1.0157,-65.2752,-103.8616,-89.8435,42.925,17.5021,3.1903,4.9683,10.7018,2.4384,1.74,-1.1649,2.3026,1.1649,0.3219
AME,66,0.001319319664541338,-495.4497,-105.9594,5.4892,3.8399,3.0855,-59.175,-73.0959,-69.1447,10.89,22.5435,12.616,15.2873,34.8794,24.3994,18.583,-1.0804,2.3026,1.0804,0.1092
AM,92,0.0012758813146706485,-247.8332,-164.5775,6.913,6.1506,6.5336,-72.347,-82.2197,-34.6641,2.2483,10.9473,7.7919,16.1924,61.3703,54.6018,35.8337,-0.7891,2.1972,0.7891,0.1549
UBSI,73,0.0012384036398255286,-104.7701,-627.7937,,,8.0443,,,-19.5568,3.2874,,,8.428,,,36.6003,-1.2436,2.3026,1.2436,-0.0809
NN,66,0.0012299287655554631,-461.0622,-90.636,-1.8442,-15.338,-6.7063,-102.3891,-198.7077,-167.0635,430.5405,-16.2749,-108.2837,-30.9204,,,,-1.2626,1.9459,1.2626,0.5622
ARCC,55,0.0011084744612185323,-92.9113,-244.6663,,,5.9024,,,-40.9755,-55.8403,,,5.484,,,70.7152,-0.9296,2.1972,0.9296,0.0492
HITI,105,0.001104250692867574,-108.0158,-127.7966,52.7051,-10.5006,-33.7161,351.9998,-201.3728,-437.1612,98.4575,58.3976,-9.3078,-36.4188,28.4297,,,,2.1972,,0.2614
SNOW,33,0.0010897123260741565,-1118.0791,-95.2177,2.359,-1.4738,-1.0676,-75.8263,-104.4853,-110.6764,69.4098,92.2897,-46.128,-11.9371,65.2634,,,-1.7123,2.3026,1.7123,-0.1741
RELX,123,0.0010724396751006636,-1423.8701,-116.8487,9.2348,3.8629,3.1625,-29.1478,-77.101,-68.3754,18.0701,55.2568,18.4912,45.0293,64.3985,26.9379,19.7638,-0.9273,2.3979,0.9273,0.0975
ACHC,78,0.001040369167498517,-242.5606,-122.4331,29.837,5.5592,4.2537,165.8255,-66.3879,-57.4635,12.7897,59.9218,8.9316,10.3177,96.1615,17.9166,11.4662,-1.1877,2.3026,1.1877,-0.0322
PACB,18,0.0008832687824011464,-385.8887,-115.7362,2.1334,-13.2623,-11.5735,-87.7509,-218.0729,-215.7354,-1.6926,7.1157,-35.3869,-44.661,38.2178,,,-1.9259,2.1972,1.9259,-0.6444
LOB,73,0.0008808985378682388,-242.3048,-560.2379,,,8.5621,,,-14.3794,-11.3413,,,20.7463,,,42.9388,-1.9237,2.1972,1.9237,-0.1061
AMSF,118,0.0008519136245669916,-254.786,-217.6903,,,6.6912,,,-33.0877,-6.7466,999999.0,999999.0,17.0483,,,18.3638,-0.778,2.1972,0.778,0.0378
MRC,66,0.0008177497665968102,-126.6574,-97.9756,36.4651,8.4294,8.9502,327.1566,-55.5689,-10.4985,19.9175,55.6721,10.2955,11.336,18.2671,4.2227,2.6275,-1.2672,2.3026,1.2672,0.1087
KFY,42,0.0008102689879351911,-177.1435,-105.8082,106.4107,14.7068,8.0797,626.1483,14.7137,-19.2028,7.9449,223.8063,24.7454,14.3127,91.5885,12.6582,8.3441,-1.141,2.3026,1.141,0.1071
GTN,22,0.0008013739954082172,-27.2065,-1089.7254,18.3158,12.6723,65.273,482.0351,14.2809,552.7297,52.8014,15.5895,8.6288,17.7585,39.6667,27.4444,13.6444,-1.8209,2.3026,1.8209,-0.3317
NREF,124,0.0007781382495859458,-40.7662,-3524.7288,,,5.118,,,-48.8203,-61.1022,,,2.0864,,,84.1252,-1.0188,2.0794,1.0188,-0.1764
PEN,79,0.0007207032684432436,-933.8354,-95.5621,5.8559,0.0665,0.0334,-52.0815,-97.4625,-99.6662,13.3152,66.0075,0.6001,0.3117,63.1786,0.718,0.3675,-1.2066,2.1972,1.2066,-0.1359
TREX,59,0.0007028625007958756,-1693.1993,-101.4604,4.4956,2.9173,2.2499,-65.5652,-78.4931,-77.5006,-7.595,55.4912,28.8076,38.096,36.5256,23.7023,17.8538,-1.4816,2.3026,1.4816,0.1769
XP,70,0.0006702817156849254,-425.5914,-236.3203,1.6509,-5.3377,3.7994,-79.8828,-131.3407,-62.0058,-2.6795,9.7864,-25.3133,16.17,18.2697,,45.6831,-1.7084,2.3026,1.7084,-0.0184
FTS,46,0.0006313670589388755,-113.0531,-238.0405,12.2863,4.7475,5.5856,-3.8205,-138.612,-44.1441,17.9421,13.8232,4.2731,6.3147,64.9835,25.11,13.2185,-0.9052,2.3026,0.9052,-0.0293
