Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
CPAY,123,0.0005043054372096701,-799.6644,-121.1833,-1.111,9.8203,5.5524,4.4046,-26.948,-69.8669,-55.9536,5.7713,32.388,14.6497,35.2223,78.134,44.1768,27.8794,2.3026,1.111,-0.0597
PLUS,130,0.0004836037923220507,-167.8877,-69.3006,-1.2648,41.2337,10.4058,7.2547,193.3052,-14.0888,-27.4535,-7.0333,79.4254,16.0351,12.1797,27.5099,6.9424,5.7556,2.3026,1.2648,0.1556
HKD,55,0.00044191011356766883,-109.9371,-248.7495,,3.4587,2.2786,19.462,-220.3575,-249.1196,94.62,-29.0873,4.8956,2.5802,21.396,78.4331,51.6718,144.8652,2.0794,,-0.1735
GRVY,123,0.0004066109167403544,-106.7262,-11.2285,-0.8884,408.4757,182.7696,14.0255,247.9517,106.6193,40.255,-32.0784,2265.9423,811.1041,14.9689,40.1815,17.9789,17.6266,2.1972,0.8884,0.0739
HAFN,143,0.0003953953639674255,-91.1476,-125.8841,,34.7878,31.8224,30.1987,211.1669,183.0713,201.9865,7.3714,32.1512,23.5285,27.5253,29.6178,27.0932,21.7093,2.3026,,0.2413
CADL,14,0.0003851991628079922,-374.7548,-74.0851,-1.7023,,-21.0665,-17.7587,,-171.1335,-277.5867,,999999.0,999999.0,-66.5515,,,,0.0,1.7023,-0.0603
CRBP,19,0.0003845318346877154,-44.4669,126.0327,-1.6724,999999.0,999999.0,-50.7903,,-480.0623,-607.9034,,999999.0,999999.0,-22.5849,,,,0.0,1.6724,0.4904
SRRK,14,0.00038398591454944544,-828.1989,-88.7038,-1.4105,,-9.4548,-6.4538,,-153.3668,-164.5377,,999999.0,999999.0,-53.4501,,,,0.0,1.4105,0.0925
EWTX,19,0.00038310113309153335,-320.523,-69.2101,-1.3283,,-15.8559,-7.273,,-154.3848,-172.7297,,999999.0,999999.0,-23.3116,,,,0.0,1.3283,-0.1617
NMG,103,0.0003829678060610647,-208.1518,-80.1266,-1.1783,-4.7249,-36.8868,-18.2304,-99.4366,-285.102,-282.3037,,-16.8769,-105.4046,-37.9469,,,,0.0,1.1783,0.1
FBRX,19,0.0003828304598165799,-89.5406,11.9386,-1.2632,999999.0,999999.0,-60.3997,,-598.9283,-703.9975,,999999.0,999999.0,-54.0823,,,,0.0,1.2632,0.883
GOSS,19,0.0003827722505101384,-752.2224,-84.6199,-1.2492,,-47.9926,-20.0626,,-272.3529,-300.6262,,999999.0,999999.0,-150.9155,,,,2.1972,1.2492,0.236
OTLK,14,0.0003822159358528609,999999.0,-307.4662,-0.9848,,-161.5138,-201.7637,,-2068.1999,-2117.6375,,999999.0,999999.0,999999.0,,,,0.0,0.9848,0.368
PVLA,19,0.000381966883177443,-474.3822,-78.1469,-1.0555,,-6.6051,-4.6961,,-109.8176,-146.9608,,999999.0,999999.0,-22.2774,,,,0.0,1.0555,-0.1166
TRVI,19,0.0003818338333341479,-589.9247,-83.1516,-1.0235,,-10.7296,-6.5245,,-151.8131,-165.2453,,999999.0,999999.0,-38.4898,,,,0.0,1.0235,-0.0478
CTNM,19,0.0003817419457861223,-88.5027,10.2349,,999999.0,999999.0,-19.2856,,-215.4587,-292.8556,,999999.0,999999.0,-17.0682,,,,0.0,,-0.41
ANRO,19,0.0003817419457861223,-36.5261,158.9998,,999999.0,999999.0,-88.8334,,-808.9509,-988.3338,,999999.0,999999.0,-32.4474,,,,0.0,,0.122
