Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
OGI,19,0.0020927406633393522,-1.8611,20.1299,-14.3519,8.1871,5.9459,-0.0,1.8611,-0.046
AFCG,123,0.0020164982134092523,-1.0878,36.2426,44.9949,36.9518,1.6158,3.8225,1.0878,-0.1133
PECO,124,0.0019403452451853937,-0.4624,12.1952,5.9161,16.7376,0.4401,3.7756,0.4624,0.015
MMI,123,0.00186052958928072,-1.3881,20.2059,9.6872,22.7034,1.6052,1.8968,1.3881,-0.0356
CSTM,81,0.0017828877641845552,-1.3969,-7.3481,-13.6902,-22.6119,3.4586,-2.7937,1.3969,-0.3644
GSBC,73,0.0017058311380804445,-1.1629,19.1437,17.1853,14.2913,7.2055,2.7821,1.1629,0.0742
GAB,71,0.0016290491456675443,-0.9293,14.5388,7.1243,4.8851,-0.4224,-0.367,0.9293,0.008
ECC           ,145,0.0015519107419984493,-0.7194,16.6956,8.3949,2.7948,0.113,-0.925,0.7194,-0.0299
HDL,127,0.0014730281081189814,,,,-23.4483,-8.1725,1.1177,,0.718
MHD,70,0.0013961501928325584,-0.6258,15.5373,5.4238,6.5907,-4.4858,-0.3128,0.6258,-0.0621
KRO,74,0.0013161699714187333,-1.5154,44.339,30.2989,-17.4743,-5.5764,-1.25,1.5154,-0.2205
DMLP,95,0.001240395958536551,-0.8074,19.2767,3.0613,-5.7094,-0.9539,-3.125,0.8074,0.1656
LCII,10,0.0011605242897360134,-1.5752,-4.3861,-4.3136,8.2078,-1.9348,-2.7193,1.5752,-0.146
VECO,66,0.001082753704442935,-1.7517,18.3789,-3.8211,-12.6937,8.5094,-1.6912,1.7517,-0.1685
MSI,121,0.0010065824862451147,-0.9535,57.643,32.4533,21.4527,-1.9147,0.2198,0.9535,0.024
CCS,63,0.0009279244722873838,-1.506,33.2019,15.2295,18.856,-1.0393,-1.1403,1.506,-0.2791
BFIN,131,0.0008519379008849412,-0.8675,39.9177,22.1809,18.4466,1.3479,-0.0,0.8675,0.0466
BIRK,134,0.0007716473667650668,,,4.3278,-12.4561,4.9098,3.85,,0.2074
ARBE,45,0.0006962470047338596,-0.748,-27.0073,4.712,0.0,7.0,2.1053,0.748,0.0968
GMED,79,0.0006175437131590696,-1.294,34.0586,33.517,8.3296,3.7414,0.5259,1.294,0.1693
MKTX,70,0.0005404491978356614,-1.155,2.8337,11.8573,22.2381,-5.1694,-0.2123,1.155,-0.1137
INSM,19,0.00046090306057759055,-1.9353,237.765,172.5232,38.9101,4.5116,-0.3849,1.9353,-0.042
EH,3,0.00038412668839888584,-1.4917,-25.295,29.6527,-14.2015,0.2747,-14.511,1.4917,0.0792
CHSCN,52,0.00030858525217449326,-0.5873,7.0156,0.9004,-1.4328,-2.5183,0.6544,0.5873,0.0056
SPRO,19,0.00022981748577819642,-0.8722,-9.8684,-18.9349,-3.5211,4.3796,-2.3437,0.8722,-0.1756
QVCGA,27,0.00014868846323526223,-2.3887,-23.0769,-57.4468,-15.493,1.6667,1.6667,2.3887,-0.3559
OXLCN,71,7.548144496050441e-05,,12.3348,6.2727,2.9756,-1.6149,-0.8299,,0.014
WLYB,21,0.0,-0.9911,33.3143,43.0804,30.5894,-3.592,-3.6142,0.9911,-0.0768
ASA,114,0.0,-0.9692,32.9982,40.9373,6.2534,-7.523,0.9896,0.9692,-0.0019
SGRY,64,0.0,-1.8438,-14.5036,2.4367,15.7609,-0.2191,0.7439,1.8438,-0.3351
DVA,86,0.0,-1.069,46.5385,18.9095,2.5829,-5.4267,3.0467,1.069,-0.0584
CVS,129,0.0,-1.1176,-9.4207,-20.8473,-2.8755,-8.7352,-6.1392,1.1176,-0.2816
LNG,98,0.0,-0.8354,11.8726,19.2365,17.6932,0.4048,-2.6595,0.8354,0.1986
OPCH,80,0.0,-1.1458,-7.3763,-0.3113,7.3776,6.6521,3.5806,1.1458,-0.2405
BBCP,50,0.0,-1.1708,-14.0397,-20.757,-9.484,12.943,0.1767,1.1708,0.1735
JBHT,144,0.0,-1.2085,-8.7996,-14.3812,8.0201,2.9215,2.0962,1.2085,0.0205
SGML,82,0.0,-1.2221,-66.5305,-33.145,-30.3466,-23.2864,-10.8953,1.2221,-0.0632
GOCO,137,0.0,-1.2321,-46.1489,-34.1634,-19.1977,-5.792,4.6858,1.2321,0.5531
AXON,101,0.0,-1.2433,69.4461,16.14,29.5736,-10.8338,-2.3402,1.2433,0.4746
SATL,121,0.0,-1.3534,-37.0968,-34.5638,-12.9464,-2.6667,-2.6667,1.3534,2.047
CHRW,68,0.0,-0.9886,19.8501,41.0855,20.683,-5.3635,-0.3518,0.9886,-0.0463
UNMA,1,0.0,-0.672,16.6833,4.3163,2.389,-1.8891,2.1235,0.672,-0.0307
OABI,15,0.0,-0.8278,-28.1304,-29.1032,-3.4562,2.864,2.864,0.8278,-0.14
AENT,44,0.0,-0.4347,-32.6633,-20.7101,-50.9158,-88.0597,0.3953,0.4347,2.496
BIPI,75,0.0,,7.7636,-0.0537,2.5358,-7.1505,3.1584,,-0.1155
TOYO,88,0.0,,-52.2706,-54.0179,-53.915,45.6311,1.0601,,0.2464
ZK,9,0.0,,,,-35.7937,-60.3832,-48.5404,,0.0451
INTC,132,0.0,-1.8402,-38.791,-49.1787,-28.1043,-1.588,4.8853,1.8402,-0.0969
RCC,124,0.0,-0.4344,9.5536,3.5318,1.1666,-1.1998,0.6499,0.4344,0.0215
SUUN,113,0.0,,,,-32.5696,-1.699,5.8427,,-0.4749
TDTH,123,0.0,,,,,,5.9459,,-0.3649
NIPG,133,0.0,,,,,6.015,-6.383,,-0.0733
BKV,95,0.0,,,,,,,,0.2941
PLOW,36,0.0,-1.3999,-7.0051,16.0117,13.4225,0.6971,0.5816,1.3999,-0.1237
ACGLN,118,0.0,-0.6675,15.972,2.0361,4.8402,-3.6169,0.0968,0.6675,-0.0894
SGI,62,0.0,-1.3823,12.4971,-3.7544,2.3482,-3.1089,-0.6891,1.3823,0.0351
GLDD,83,0.0,-1.4045,13.1968,8.7432,8.7432,-13.9699,-8.103,1.4045,0.0282
HQH,53,0.0,-0.9747,28.1567,18.6888,18.0428,2.0581,-0.4329,0.9747,-0.0938
COHR,48,0.0,-1.8176,107.6452,22.8139,36.6106,-17.3316,-0.8602,1.8176,0.0998
