Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,HML_3,HML_5,PB,NCAV,IA_G,IE_G,Beta,Performance
SHMD,66,0.0012445532770733716,16.5949,-2.3525,29.8468,47.7289,-173.1175,198.4676,-0.4182,106.9007,-12.1233,999999.0,29.6406,,36.5896,,,999999.0,-146.0329,75.3597,,,-0.1763
KRO,74,0.0012392317401333688,28.9614,9.7774,14.249,194.5172,-32.1719,42.4903,13.2373,29.5064,7.9691,14.6487,19.0398,6.4279,6.342,43.7887,-20.1075,-102.805,-93.3565,-15.4765,-1.0763,1.2308,-0.2689
ITW,66,0.0012244310574139536,8.7751,5.3149,4.8255,-32.6106,-62.9034,-51.7455,-1.2976,68.8038,33.3385,106.6506,44.2823,26.821,22.2519,-28.9164,-100.0002,-2210.1682,-107.8392,-1.1867,-10.0896,0.9344,-0.0067
EPR,124,0.001220908990630753,8.7948,5.3503,3.1239,-51.9162,-100.1798,-68.7609,-2.8382,11.2726,5.4861,5.0791,90.7728,55.2216,18.4087,-16.9771,-242.8686,-162.5868,-164.1969,0.588,5.3342,0.7648,0.0986
TPH,63,0.001214998405782189,34.4788,18.8979,16.4444,178.8521,52.0624,64.4442,20.9436,31.0717,13.6243,14.7942,23.4421,12.8487,10.9917,-58.3415,-325.4259,-89.965,-10.3186,3.9688,-10.6875,1.2084,-0.0105
AM,92,0.0011866037028523484,6.3766,5.6267,5.0935,-66.707,-74.8767,-49.0647,5.791,14.3004,10.0949,20.7499,63.5771,56.1,37.2937,-112.2232,-1271.3109,-407.3788,-140.9256,2.4745,1.6991,0.7718,0.0193
ECBK,12,0.0011807390554861843,,,3.0635,,,-69.365,1.4395,,,2.5535,,,16.3912,,,-83.3538,-991.1344,-0.8441,-2.0418,,-0.0052
PLG,114,0.0011535905524522546,-0.0502,-3.45,-2.9522,-116.0313,-147.4633,-129.5223,,-0.1564,-8.5891,-7.3584,,,,44.2396,16.5517,-249.2482,-98.479,-14.025,-5.0154,1.4297,1.3802
FPI,124,0.0011463515468845718,6.3235,3.4373,9.788,-73.0182,-107.1394,-2.1199,1.3685,6.5006,2.8268,8.2385,89.9801,48.9108,94.2492,5.9934,-132.4283,-84.1691,-126.356,26.8086,5.43,0.8275,-0.0624
BCPC,74,0.0011445801090548063,6.021,3.2756,2.4463,-53.17,-75.6994,-75.5371,3.3872,26.0544,11.3397,11.5802,35.2534,19.1792,13.9629,-21.6754,-80.0823,-473.3779,-101.9464,0.6703,-9.1016,0.9272,-0.1417
BBVA,30,0.001133251595226778,,,18.7852,,,87.8523,17.3752,,,20.5356,,,31.4107,-196.4231,-551.2561,-109.3175,-1185.8804,-5.1004,-8.5913,1.0762,0.3722
GD,75,0.0011118478335542957,9.1392,5.9521,4.9407,-29.4705,-57.4173,-50.5925,12.8785,25.2815,13.1722,16.4619,15.433,10.0511,7.6117,-21.4929,-143.319,-333.1874,-110.4624,-1.6791,-3.587,0.8423,0.2211
TWIN,66,0.0010965743112667905,73.3693,8.1459,1.2788,556.1124,-39.7799,-87.2119,16.9751,51.5924,4.5825,0.8609,28.726,3.1893,0.4384,51.2747,-40.9706,-67.3186,-31.6337,-11.7746,-6.0218,1.0706,0.8592
HUHU,81,0.0010965515949171718,7.1151,-1.6914,-1.4905,-44.6123,-117.5722,-114.905,8.4658,67.6179,-12.8595,-20.3123,36.1038,,,,,-1362.7883,-98.9233,-100.41,-12.8818,,0.3119
OCCIO,145,0.001083232325261209,,,2.4241,,,-75.7589,1228.5301,,,8.0866,,,64.312,-19.0084,,-333.592,-118.5918,-23.6443,-23.6443,0.4189,0.0406
ROOT,118,0.0010807896595132925,,,1.3079,,,-86.9211,158.5714,999999.0,999999.0,12.1355,,,2.1011,-245.9646,,-927.8679,-168.3574,,-22.933,1.6405,-0.3143
