Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
SRI,10,0.0,-115.8551,27.9555,-181.9866,-83.8823,44.2407,16.803,5.0711,0.3261,1.0332,-0.0668
CLAR,125,0.0,-157.5758,23.9123,-113.9349,-94.3265,26.2347,18.5283,21.0877,,1.2431,-0.2988
CZR,65,0.0,-17.9918,24.3649,-279.3423,-361.6021,35.0129,12.1155,17.397,19.4869,1.5214,-0.1428
IEP,10,0.0,-68.4379,16.8879,-113.2295,-76.6504,32.4587,29.8331,-2.3012,4.5149,0.6198,-0.5997
INVE,35,0.0,-88.5616,33.4892,-184.2391,-62.6335,69.699,8.8138,-1.1837,,1.0027,0.3762
CULP,140,0.0,-271.5845,26.1079,-71.9607,-44.6449,16.3329,-20.3179,25.4567,,0.7167,-0.1135
VERX,33,0.0,-99.8337,9.7672,-1353.8542,-107.2016,169.9395,15.5273,0.156,,,0.551
UVV,52,0.0,20.0368,24.3454,-76.1949,-36.0206,20.9776,21.9338,-3.7684,7.1014,0.6178,0.019
MAXN,132,0.0,-213.2679,-3.6101,-2486.3237,-135.186,-27.3343,35.343,86.4544,,,-0.8907
NTGR,139,0.0,-87.945,81.4376,-86.1848,-13.0736,63.6832,-20.1701,10.901,,0.8712,-0.1729
DT,33,0.0,-86.7111,7.9771,-765.445,-100.3139,89.1491,24.6475,-23.0307,8.0111,1.164,0.0745
LWAY,107,0.0,-71.5982,29.5926,-185.9487,-92.0932,53.9714,18.8998,3.1772,1.6593,0.7511,2.0712
CWAN,33,0.0,-93.6077,7.3937,-901.9501,-92.9515,160.9101,20.3966,-29.2201,1.6864,,0.0777
BVN,82,0.0,-127.0574,3.2113,-63.512,-135.8368,2.1082,-8.4011,-24.5973,,0.76,0.9113
UTZ,107,0.0,-222.9529,15.5137,-87.7761,-177.0272,19.3268,19.2839,-1.1857,0.3304,0.655,0.1231
XPEV,9,0.0,-122.8731,2.7036,-368.1762,-93.13,20.2533,27.9538,12.4231,,,-0.3168
TDW,75,0.0,-85.0295,5.7804,-257.3273,-101.4707,14.8241,77.3946,-23.401,4.552,0.9769,1.1497
TPCS,81,0.0,-113.5933,7.3929,-417.2685,-111.5495,24.4853,41.0597,4.387,,0.6711,-0.5064
UNP,122,0.0,-32.9646,7.5387,-956.3856,-142.1517,25.1968,14.3993,14.1092,42.8214,0.8989,0.2335
LBRDP,26,0.0,-214.1529,,-32.8154,-311.3895,,-1.3158,16.1554,2.8718,,0.0919
CWCO,147,0.0,-38.1441,15.1693,-144.4716,-69.8913,25.8598,40.7419,-1.2669,9.8665,0.8278,0.6155
