Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
WAB,122,-0.0010213483708403097,-178.0316,-121.0851,-0.8957,11.7751,4.6869,3.7819,-6.9243,-74.6359,-62.1807,6.9036,18.6655,5.9436,6.733,30.3755,12.0904,8.1703,2.3026,-42.2883,53.6896,985.5145,0.8957,0.4531
DCO,83,-0.0010243618809039111,-125.9287,-93.8508,-0.8849,16.7217,5.3244,4.0248,44.0022,-74.7908,-59.7521,10.4002,19.8603,5.059,5.0684,20.2512,6.4482,3.7412,2.1972,-72.4493,-8.3512,787.744,0.8849,-0.1141
VHC,91,-0.0010280729627414943,-21.0251,374.0902,-0.8716,999999.0,999999.0,-50.555,,-176.8053,-605.5496,37.1429,,-7991.3122,-10.6293,,,,1.6094,-159.329,-165.8693,0.2419,0.8716,-0.315
CRNT,121,-0.0010312817929018106,-117.6045,-70.7447,-0.8601,59.8776,-7.037,-9.7923,418.1737,-172.4412,-197.9228,1.5157,69.2768,-6.5133,-11.5162,31.5283,,,2.1972,133.187,414.4204,3413.5823,0.8601,0.8503
STRS,63,-0.0010342394972234934,-58.7416,-178.579,-0.8495,1.8441,-3.8274,-3.3413,-165.2159,-253.1498,-133.4126,32.8021,1.5992,-2.6553,-1.9627,15.2328,,,2.0794,-285.03,-293.7056,-198.5512,0.8495,0.1025
TBRG,45,-0.0010362875679519041,-188.0731,-126.2411,-0.8412,28.1698,4.0085,3.3192,163.4958,-88.5985,-66.8076,16.3985,43.9505,5.0033,6.2426,49.0151,6.9748,4.4283,2.1972,-124.8612,-108.98,175.0454,0.8412,-0.7093
AGM,53,-0.0010408524776408408,-105.1041,-2049.401,-0.8258,,,13.5048,,,35.0482,26.846,,,14.1941,,,58.4072,2.1972,75.5098,309.3319,2001.1158,0.8258,0.453
ELME,124,-0.0010420467205178978,-110.2011,-141.8338,-0.7944,6.6053,0.4111,-1.7731,-65.5867,-134.5058,-117.7312,23.7829,7.0774,0.3524,-1.954,61.1056,3.8031,,2.1972,-136.6628,-120.7252,61.2585,0.7944,-0.2127
CNP,46,-0.0010534645753144318,-172.6014,-228.3091,-0.7806,9.8751,4.5524,6.5383,-41.6651,-126.1509,-34.6169,11.602,12.908,4.7604,11.2852,36.4446,16.8008,12.1618,2.3026,-139.4779,-126.7925,-29.8207,0.7806,-0.0073
OSS,32,-0.001076763472565424,-112.3768,-31.1341,-0.6971,51.0762,3.9271,3.5247,247.4325,-54.9874,-64.7531,16.8423,59.2097,3.642,3.9609,28.1652,2.1656,2.4242,2.0794,-169.6772,-160.9572,-62.491,0.6971,0.2661
ALM,103,-0.0010965466080755477,-534.1542,-160.4235,-0.6262,0.8682,-2.5255,-5.3254,-128.5702,-166.0823,-153.2539,18.9428,2.1087,-4.9071,-28.4458,10.2718,,,2.0794,-169.9565,-179.2123,-133.2077,0.6262,-0.0491
DCTH,79,-0.0011080146880398086,999999.0,-112.9328,-0.5851,3.0904,-51.4602,-50.5583,-85.7239,-582.6929,-605.5828,96.0,94.2076,-1254.9768,999999.0,79.7881,,,1.9459,-102.7572,-124.8406,-28.8703,0.5851,-0.1826
